"","base.coln","all.pop.change","pop.q25","pop.q75","all.samp.change","samp.q25","samp.q75"
"1","PI","-13.843","-13.843","-13.843","-13.657","-13.657","-13.657"
"2","EA","-2.982","-4.55","-1.414","-3.55","-4.966","-2.135"
"3","PA (1)","-1.254","-4.42","-0.988","-2.31","-5.771","-1.108"
"4","OH","-1.012","-1.93","4.386","-0.057","-2.973","1.556"
"5","YV","-0.649","-1.678","2.311","0.861","-2.505","5.123"
"6","AQ","-0.646","-1.121","2.444","1.255","-2.024","2.024"
"7","FL","-0.563","-1.977","3.57","-1.073","-3.787","5.452"
"8","NW","-0.316","-2.207","1.559","-0.218","-2.328","2.938"
"9","DH","-0.262","-2.619","2.357","-0.989","-3.794","2.805"
"10","TW","-0.208","-2.464","2.134","-1.212","-2.86","1.232"
"11","HP","-0.207","-3.346","2.777","0.702","-3.904","3.655"
"12","US","-0.147","-2.051","2.179","0.171","-2.776","2.269"
"13","HA","-0.143","-0.502","0.553","0.864","-0.474","1.108"
"14","CO","-0.128","-1.545","1.681","-1.155","-2.307","2.281"
"15","9E","-0.122","-3.571","2.848","2.202","-3.689","4.508"
"16","MQ","-0.073","-3.102","3.233","-1.688","-3.847","8.35"
"17","UA","-0.054","-1.683","2.312","-0.066","-4.195","4.684"
"18","WN","-0.052","-1.015","1.797","-0.145","-1.537","2.23"
"19","ML (1)","0","-2.374","2.374","0","-3.441","3.441"
"20","AS","0.059","-2.839","1.084","-0.463","-2.206","2.247"
"21","DL","0.421","-2.18","1.038","-0.679","-2.228","0.808"
"22","AA","0.561","-2.007","1.469","-0.595","-3.459","3.055"
"23","TZ","0.612","-0.939","4.96","1.217","-1.975","4.498"
"24","OO","0.64","-1.129","1.926","1.478","-2.76","2.656"
"25","XE","0.822","-0.494","2.396","2.169","-1.738","3.25"
"26","B6","0.986","-1.126","3.031","-0.178","-4.394","8.112"
"27","F9","1.209","0.631","2.779","0.162","-0.217","4.405"
"28","VX","2.591","1.87","3.312","2.408","2.198","2.618"
"29","EV","2.636","-1.406","4.375","2.878","-4.354","6.326"
"30","PS",NA,NA,NA,NA,NA,NA
